Project,Description,SF_Building,SF_true,Year,Center Number,JV Type,Region,dummy_tier,ACQ,CAP,CBK,CLT,CNT,CNX,COH,CON,COT,DES,DEV,DPT,DSH,DSX,DVH,DVX,ERT,FIN,GRP,LAB,LAD,LEA,LOH,LRC,MKT,OOC,OWR,PDH,PDV,PFE,PRO,REC,RET,SLS,STB,TAL,TBK,TBO,TCO,TCS,TWK,Grand_Total
1405,Garden State II - B Deck,16000,1,2013,12235,JVE,NE,Other,0,44.32,-6.01,0,0,0,0,-13.5,0,-1.75,0,164.96,0,0,-0.28,0,0,102.66,0,0,0,0,-2.97,0,0.91,1.49,0,0,-37.83,42.61,0,9.33,-6.97,0,0,13.62,0,0,0,0,4.21,314.8
1830,West Covina Ph3-Nord/Gym - x,15000,1,2010,12301,WHO,LA,Other,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.12,0,2.05,0,19.02,0,0.04,111.05,0,0,-35.56,8.76,0,-119.05,-22.89,0,0,223.83,18.22,0,0,0,157.2,329.92
3139,Valley Fair-Dining Terr/Luxury,14095,1,2013,12297,JVE,NW,Other,0,63.65,0,0,0,0,0,35.08,4.28,-1.38,82.25,0,6.75,0,104.47,0,0,31.63,0,0,2.64,0,17.05,0,0,0,5.92,0,-41.13,4.34,0,0,-41.13,0,0,15.37,0.78,0,-1.06,1.06,3,293.57
3312,Santa Anita - Laneway,13800,1,2015,12280,JVE,LA,Other,0,8.79,-76.88,0,5.22,0,0,100.16,13.42,1.58,0,0,0,0,5.46,0,0,0,0,0,0.14,0,1.92,0,3.85,11.2,0,0,0,0,0,0,0,0,0,220.01,2.24,0,0.45,0,19.95,317.51
1866,Hawthorn,13000,1,2013,12240,JVC,MW,Other,0,-15.96,0,0,0.28,0,0,5.62,0,0,13.7,7.18,0,0,153.61,0,-39.6,60.89,0,0,10.77,0,9.11,0,1.23,15.28,0,0,0,25.43,0,-20.33,10.19,0,8.58,13.62,0,0,0,0,54.64,314.24
3313,Wheaton - AMC (3438),12501,1,2015,12305,JVE,SE,Other,0,28.84,0,0,10.88,0,0,22.02,0,0.59,20.52,0,0,0,59.42,0,0,20.02,0,0,4.33,0,6.66,0,6.54,38.5,0,0,0,5.26,0,0,0.08,25.85,0,0,0,0,0.48,0,0,249.99
1891,Eastland - Walmart - x,10000,1,2010,15200,WHO,LA,Other,961.21,0,0,0,0,0,0,16.58,0,0,0,0,0,0,0,0,0,0,-20.84,0,0,0,0,36.28,0,0,0,0,0,0,0,-847.29,0,0,0,155.47,8.96,-11.94,0,0,0,298.43
1699,Broward-Theater/ FC - Excl Lia,9400,1,2012,15200,WHO,SE,Other,0,0,0,3.95,5.9,0,0,-44.29,0,0,-8.97,0,0,0,6.22,0,-37.64,42.24,30.51,0,5.73,0,7.78,139.53,7.22,0,0,0,0,32.3,0,0,0,2.39,0,103.89,0,0,-1.7,0.6,11.97,307.63
1089,W. Covina - Phase I (Best.B),9327,1,2008,12301,WHO,LA,Other,272.68,0,0,0,0,1.38,0,0,0,0,0,0,0,2.34,0,-15.55,0,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,0,0,0,0,0,0,260.81
1985,Great Northern Food Court - x,9000,1,2011,12238,WHO,MW,Other,0,0,0,0,0,0,28.06,0,0,0,0.54,0,0,0,-0.54,0,0,0,18.89,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,201.39,1.75,0,0,0,0,253.76
3426,GSP Transformational Cntr Upgr,8824,1,2016,12235,JVC,NE,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,282
2023,W Valley Costco-Exc Liab(3291),8000,1,2013,15200,WHO,LA,Other,0,0,0,10.43,11.41,0,0,69.45,0,0,0,0,0,0,157.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.63,0,0,0,0,0,0,0,0,0,0,0,266.72
3134,Montgomery - Condo Box,7000,1,2013,12256,JVE,SE,Other,0,55.8,6.69,0,5.49,0,0,78.48,0,2.7,-10.06,0,0,0,50.95,0,-65.87,16.87,0,0,2.78,0,30.13,0,10.99,10.32,0,0,0,6.71,0,0,0,0,0,109.51,0,0,0,0,0,311.49
3307,Culver City - JCP Home,7000,1,2015,12230,JVE,LA,Other,0,34.76,0,0,0,0,0,114.83,0,1.93,3.08,0,0,0,0,0,0,0,0,0,1.18,0,17.12,29.29,0,0,0,0,0,1.86,0,0,0,0,0,46.53,39.85,0,3.55,0,11.7,305.68
3427,GSP Entry #7,6633,1,2015,12235,JVC,NE,Other,0,1.3,0,0,3.57,0,0,149.45,55.98,13.74,0,0,0,0,48.74,0,0,2.68,0,0,0,0,0,0,0,5.21,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0,0,286.99
3231,Southcenter - Round One,6555,1,2014,12286,JVE,NW,Other,0,16.57,0,0,0,0,0,33.04,0.17,0,0.42,24.28,0,0,-16.18,0,0,14.82,0,0,7.95,0,12.64,47.1,0.37,2.6,0,0,126.46,0.91,0,0,0,0,0,17.76,0,0,1.93,0,16.18,307.02
3049,Century City-Office Base Bldg,6500,1,2011,12211,JVC,LA,Other,0,0,0,0,0,0,0.48,258.27,17.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.58
1861,GreatNorthernTheatre-Excl Liab,5885,1,2012,15200,WHO,MW,Other,0,0,0,0,0,0,0,145.45,0,1.42,0,0,0,0,7.1,0,0,39.75,0,0,6.42,0,5.95,0,0,0,0,0,0,9.56,0,0,0,0,0,47.22,0,0,17.13,0,0,280
1628,Main Place Macy's Box,5626,1,2014,12317,JVC,LA,Other,0,-84.07,0,0,0,0,0,0,0,6.9,0.94,0,0,0,233.3,0,0,84.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,0,0,0,257
3205,San Francisco Bespoke Level 4,5500,1,2014,15653,JVE,NW,Other,0,24.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.32,0,163.13,0,0,0,0,9.33,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.84
2080,Old Orchard-FC & Wayfinding-x,5414,1,2010,12267,JVC,MW,Other,0,2.03,0,0,0,0,0,-48.3,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0,376.92,19.23,0,2.23,0,0,364.04
1093,World Trade Center - Predev,5299,1,2012,10200,WHO,NE,Other,0,0,0,0,0,3.48,0,0,0,0,0,0,0,40.96,0,54.57,0,0,0,0,0,0,0,0,0,0,0,0,151.48,0,0,0,25.49,0,0,0,0,0,0,0,0,275.98
1614,Old Orchard - Predev,5000,1,2014,12267,JVC,MW,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.77,0,0,0,0,0,0,0,0,0,0,0,0,255.77
3105,Culver City - Nordstrom Rack,4018,1,2012,12230,JVE,LA,Other,0,36.26,0,0,0,0,0,0,0,0,0,0,0,0,100.28,0,0,54.62,0,0,1.68,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,70.03,0,0,3.08,0,0,274.02
3243,UTC - Zara,4000,1,2014,12293,JVE,SD,Other,0,49.13,0,0,0,0,0,135.77,8.02,11.37,0,0,0,0,53.1,0,0,22.35,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.85
3299,Siesta Key - Cobb Theatre,3700,1,2015,12287,JVE,SE,Other,0,-28.76,0,3.29,10.9,0,0,12.68,14.93,6.7,6.94,0,0,0,51.39,0,0,0,0,0,2.99,0,26.98,0,14.22,10.47,0,0,0,0,0,0,0,0,0,125.27,0,0,3.24,0,20.88,282.12
1142,Palm Desert,3411,1,2013,12269,WHO,LA,Other,0,0,0,0,0,4.91,0,11.53,0,0,0,0,0,1.61,0,-7.33,-22.36,0,0,0,9.93,0,15.71,0,4.09,0,0,0,0,0,0,0,0,0,0,148.05,0,0,0.02,24.01,12.81,202.98
3053,Horton Park Exc Liability-3342,3361,1,2010,15200,WHO,SD,Other,0,21.51,0,13.6,0,0,0,151.09,0,1.62,24.43,0,5.11,0,0,0,0,0,0,0,3.16,0,0,0,25.14,15.84,0,0,0,8.79,0,-41.54,0,0,0,32.33,14.21,0,-0.03,1.76,0,277.02
3239,GSP Tile Replacement and Restr,3288,1,2014,12235,JVE,NE,Other,0,0,0,0,0,0,0,0,0,0,16.18,0,0,0,284.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.03
3087,Roseville Fire - Blue Green -x,2834,1,2010,12234,JVC,NW,Other,0,0,0,4.21,0,0,9.44,6.39,0,0,4.21,0,0,0,0,0,0,0,15.55,0,0,0,0,0,0,0,0,0,211.16,0,0,0,0,0,0,0,0,0,0,0,0,250.96
3450,"GSP Entryways 8,9,11,12,17",2467,1,2015,12235,JVC,NE,Other,0,11.64,0,0,8,0,0,140.46,36.73,3.3,3.06,0,0,0,45.69,0,0,0,0,0,0,0,0,0,0,17.95,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,268.01
3305,GSP IT Infrastructure,2400,1,2015,12235,JVC,NE,Other,0,2.21,0,0,8.6,0,0,82.23,0,16.25,15.07,0,0,0,40.65,0,0,0,0,0,0,0,0,0,0,0,0,-4.12,45.7,29.94,0,0,0,0,0,0,0,0,0,0,0,236.53
3289,Santa Anita WHF,2000,1,2015,12280,JVE,LA,Other,0,0,0,0,10.3,0,0,-22.76,0,0,0,0,0,0,0,0,0,0,0,0,25.82,0,36.56,142.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,216.38
3128,Eastland Walmart Buildout - x,1976,1,2012,12224,WHO,LA,Other,0,0,0,0,0,0,0,214.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.02
3268,Valencia Pad,1589,1,2014,12294,JVC,LA,Other,0,0,0,0,0,0,0,171.65,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.99
3342,Horton Offsite - Ex Liab-3053,1488,1,2010,15200,JVE,SD,Other,0,0,0,0,0,0,0,212.72,38.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.05
1863,Chicago Ridge-ALDI-x,1442,1,2010,12214,WHO,MW,Other,0,0,0,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.92,0,0,0,0,0,2.44,0,0,0,0,0,0,-27.33,0,0,0,126.5,6.24,0,0,0,0,222.02
1075,Montgomery - Predev,1400,1,2012,12255,JVE,SE,Other,0,0,0,0,0,21.49,0,0,0,0,0,0,0,9.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.25,0,0,0,148.66,0,0,0,0,0,0,0,0,242.62
3090,Santa Anita - Mall Renovation,1356,1,2014,12280,JVC,LA,Other,0,0,0,0,19.56,0,0,2.6,0,0,0,0,0,0,128.36,0,0,0,0,0,12.16,0,35.15,0,0,0,0,0,0,0,0,0,0,0,0,54.77,0,0,22.3,0,0,274.9
3225,Vancouver - Nordstrom-3461,1323,1,2015,12298,WHO,NW,Other,0,0,0,0,30.25,0,0,0,0,0,0,0,0,0,240.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.99
3438,Wheaton South Tower (3133),1270,1,2015,12307,JVE,SE,Other,0,0,0,0,0,0,0,201.62,58.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.96
2045,Downtown Plaza-24 HrFitness -x,1100,1,2010,12222,WHO,NW,Other,0,1.39,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,51.1,0,0,0,0,0,0,0,0,0,193.56,0,0,0,0,0,250.79
1080,Plaza Camino Carlsbad Ph 1,1000,1,2013,12323,WHO,SD,Other,0,0,0,0,0,6.71,0,1.09,0,0,0,0,0,1.15,0,0,0,0,0,0,6.89,0,7.16,0,0,0,0,0,0,47.14,0,0,0,0,0,0,0,0,61.1,-6.46,54.64,179.42
7003,GSP - Void Infill 2011 - x,919,1,2011,12235,JVE,NE,Other,0,25.93,0,0,0,0,0,0,0,0,33.09,0,0,0,0,0,0,33.96,73.47,0,11.35,0,3.99,0,0,0,0,0,0,12.2,0,0,0,0,0,142.54,0,0,4.54,0,0,341.07
1091,West Valley - Predev,837,1,2013,12303,WHO,LA,Other,0,0,0,0,0,3.82,0,0,0,0,0,0,0,21.51,0,-24.89,0,0,0,0,0,0,0,0,0,0,0,0,226.63,0,0,0,0,0,0,0,0,0,0,0,0,227.07
3220,Siesta Key Reno(South Gate),585,1,2013,12287,JVE,SE,Other,0,0,0,0,0,0,0,93.4,0,0,0,0,0,0,-14.83,0,0,149.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.83
1386,Solano - Food Court Project-x,396,1,2010,15200,WHO,NW,Other,0,109.76,-64.78,0,0,-10.06,0,0.03,0,0,0,0,0,-4.12,0,0,0,0,0,0,0,0,0,0,122.23,0,0,0,0,871.78,0,0,0,0,0,-847.96,0,0,0,0,0,176.88
3052,Sunrise - XSport,283,1,2012,12290,WHO,NE,Other,0,0,0,0,0,0,0,183.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.19
1868,Sunrise Walmart,180,1,2014,12290,WHO,NE,Other,0,0,0,0,0,0,0,124.1,53.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.15
1823,N Cty -Int Remodel-RMay-Predev,119,1,2012,12263,WHO,SD,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.51,0,0,0,0,0,0,0,0,0,0,0,0,237.51
3341,Topanga South Lot Renovation,30,1,2015,12291,JVE,LA,Other,0,0,0,0,0,0,0,149.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.28
