,user_id,action_type,time_stamp,dealer,coupon_code,dist_channel,item_name,item_price,purch_count
50944,218758475,purchase,2014-11-26 00:00:00,other,,Dist Partners,Status Indicator Sm,203,5
34426,218758981,purchase,2013-02-06 00:00:00,DSG,,,Base Station,47,1
31966,218762523,purchase,2013-01-11 00:00:00,online,,Dist Partners,Alarm,699,1
31967,218762523,purchase,2013-01-11 00:00:00,online,,Dist Partners,Alarm,699,2
31444,218762523,purchase,2013-02-15 00:00:00,online,,Dist Partners,Launch Button,699,3
31445,218762523,purchase,2013-05-21 00:00:00,online,,Dist Partners,Launch Button,699,4
32787,218762523,purchase,2014-03-07 00:00:00,Distrib B,,Dist Partners,Status Indicator Sm,203,5
42308,218762523,purchase,2014-04-03 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,6
35562,218762523,purchase,2014-10-01 00:00:00,Flagship Stores,,Holographic Commerce,Signal Amplifier,98,7
39213,218763029,purchase,2014-02-10 00:00:00,other,,Online,Status Indicator Sm,203,1
39231,218763029,purchase,2014-02-10 00:00:00,other,,Online,Status Indicator Sm,203,2
35979,218763029,purchase,2014-04-02 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,3
39232,218763029,purchase,2014-04-02 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,4
42303,218763029,purchase,2014-04-02 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,5
34474,218764041,purchase,2013-12-04 00:00:00,Distrib A,,,Base Station,47,1
34544,218764547,purchase,2013-06-21 00:00:00,other,,,Status Indicator Lg,397,1
34540,218764547,purchase,2014-02-20 00:00:00,other,,,Launch Button,699,2
34542,218764547,purchase,2014-02-20 00:00:00,other,,,Spy Camera,699,3
34543,218764547,purchase,2014-02-20 00:00:00,other,,,Launch Button,699,4
34545,218764547,purchase,2014-02-20 00:00:00,other,,,Dashboard + Monitor,502,5
34546,218764547,purchase,2014-02-20 00:00:00,other,,,Spy Camera,699,6
34547,218764547,purchase,2014-02-25 00:00:00,other,,,Status Indicator Sm,203,7
34541,218764547,purchase,2014-03-26 00:00:00,other,,,Dashboard + Monitor,502,8
34539,218764547,purchase,2014-05-20 00:00:00,Flagship Stores,,,Dashboard + Monitor,502,9
31215,218769607,purchase,2014-10-22 00:00:00,Flagship Stores,,,Signal Amplifier,98,1
46892,218770113,purchase,2014-12-12 00:00:00,other,,Dist Partners,Status Indicator Md,295,1
50921,218773149,purchase,2014-11-18 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,1
34428,218776691,purchase,2013-05-15 00:00:00,online,,,Status Indicator Lg,397,1
34429,218776691,purchase,2013-05-15 00:00:00,online,,,Base Station,47,2
34430,218776691,purchase,2013-05-15 00:00:00,online,,,Status Indicator Lg,397,3
43082,218786305,purchase,2014-10-24 00:00:00,other,,Dist Partners,Status Indicator Sm,203,1
32442,218786811,purchase,2013-04-09 00:00:00,online,,Dist Partners,Status Indicator Lg,397,1
33557,218786811,purchase,2013-04-09 00:00:00,online,,Dist Partners,Status Indicator Md,295,2
34074,218786811,purchase,2013-05-06 00:00:00,online,,Dist Partners,Base Station,47,3
33556,218786811,purchase,2013-05-28 00:00:00,online,,Dist Partners,Status Indicator Md,295,4
31490,218786811,purchase,2013-06-24 00:00:00,online,,Dist Partners,Launch Button,699,5
24763,218786811,purchase,2013-10-03 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Lg,397,6
32932,218786811,purchase,2013-10-10 00:00:00,online,,Dist Partners,Status Indicator Sm,203,7
24058,218786811,purchase,2013-11-08 00:00:00,Flagship Stores,,Holographic Commerce,Launch Button,699,8
34075,218786811,purchase,2013-12-05 00:00:00,online,,Dist Partners,Base Station,47,9
24298,218786811,purchase,2014-02-04 00:00:00,Flagship Stores,,Holographic Commerce,Spy Camera,699,10
42456,218786811,purchase,2014-04-02 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,11
40638,218791365,purchase,2013-08-05 00:00:00,Amazon.com,,Retail,Base Station,47,1
34415,218791871,purchase,2014-01-24 00:00:00,Electronic Exp,,,Status Indicator Sm,203,1
37892,218791871,purchase,2014-04-02 00:00:00,Flagship Stores,,,Status Indicator Sm,203,2
34419,218791871,purchase,2014-06-04 00:00:00,Flagship Stores,,,Status Indicator Lg,397,3
34548,218791871,purchase,2014-07-23 00:00:00,Flagship Stores,,,Launch Button,699,4
41069,218795413,purchase,2014-05-19 00:00:00,Flagship Stores,,,Status Indicator Sm,203,1
40162,218795919,purchase,2013-07-08 00:00:00,Distrib B,,Dist Partners,Status Indicator Md,295,1
29692,218795919,purchase,2014-04-03 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,2
34369,218799461,purchase,2013-05-15 00:00:00,Amazon.com,,,Status Indicator Md,295,1
29125,218807051,purchase,2013-01-08 00:00:00,Computer Discounter,,Dist Partners,Status Indicator Lg,397,1
30826,218807051,purchase,2013-01-08 00:00:00,Computer Discounter,,Dist Partners,Base Station,47,2
31460,218817677,purchase,2013-02-15 00:00:00,Distrib B,,Dist Partners,Launch Button,699,1
32107,218817677,purchase,2013-07-11 00:00:00,Distrib B,,Dist Partners,Dashboard,344,2
31691,218817677,purchase,2013-08-26 00:00:00,Distrib B,,Dist Partners,Dashboard + Monitor,502,3
31693,218817677,purchase,2013-08-26 00:00:00,Distrib B,,Dist Partners,Dashboard + Monitor,502,4
31694,218817677,purchase,2013-08-26 00:00:00,Distrib B,,Dist Partners,Dashboard + Monitor,502,5
31695,218817677,purchase,2013-08-26 00:00:00,Distrib B,,Dist Partners,Dashboard + Monitor,502,6
31696,218817677,purchase,2013-08-26 00:00:00,Distrib B,,Dist Partners,Dashboard + Monitor,502,7
31692,218817677,purchase,2013-11-06 00:00:00,other,,Other,Dashboard + Monitor,502,8
28385,218817677,purchase,2014-04-03 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502,9
37779,218830327,purchase,2013-01-08 00:00:00,other,,,Dashboard + Monitor,502,1
37780,218830327,purchase,2013-01-08 00:00:00,other,,,Dashboard + Monitor,502,2
41195,218830833,purchase,2014-04-03 00:00:00,Flagship Stores,,,Status Indicator Lg,397,1
41075,218831339,purchase,2013-10-08 00:00:00,Amazon.com,,,Launch Button,699,1
41074,218831339,purchase,2013-12-18 00:00:00,online,,,Spy Camera,699,2
42463,218831845,purchase,2013-11-01 00:00:00,Distrib A,,Dist Partners,Status Indicator Sm,203,1
31103,218832857,purchase,2014-10-09 00:00:00,Flagship Stores,,,Status Indicator Sm,203,1
27759,218833363,purchase,2013-12-13 00:00:00,online,,,Status Indicator Lg,397,1
27888,218833363,purchase,2013-12-13 00:00:00,online,,,Status Indicator Lg,397,2
27889,218833363,purchase,2013-12-13 00:00:00,online,,,Base Station,47,3
31832,218835387,purchase,2013-04-11 00:00:00,online,,Dist Partners,Dashboard + Monitor,502,1
50984,218835387,purchase,2014-12-08 00:00:00,online,,Dist Partners,Status Indicator Md,295,2
46643,218835893,purchase,2014-09-26 00:00:00,online,,Dist Partners,Status Indicator Sm,203,1
37236,218837917,purchase,2013-03-11 00:00:00,other,,Online,Base Station,47,1
36688,218837917,purchase,2013-11-15 00:00:00,Southern,,Retail,Status Indicator Md,295,2
34736,218837917,purchase,2013-12-18 00:00:00,Southern,,Retail,Launch Button,699,3
27704,218839435,purchase,2014-05-17 00:00:00,Flagship Stores,,,Remote,344,1
34406,218842471,purchase,2013-04-29 00:00:00,other,,,Dashboard,344,1
34407,218842471,purchase,2013-09-16 00:00:00,other,,,Base Station,47,2
27890,218848543,purchase,2013-10-18 00:00:00,Cambridge,,,Dashboard + Monitor,502,1
37844,218850567,purchase,2013-07-09 00:00:00,other,,,Dashboard + Monitor,502,1
37845,218850567,purchase,2013-07-09 00:00:00,other,,,Dashboard + Monitor,502,2
34581,218850567,purchase,2014-06-06 00:00:00,Flagship Stores,,,Base Station,47,3
27866,218853603,purchase,2013-09-06 00:00:00,other,,,Status Indicator Lg,397,1
34343,218857651,purchase,2013-03-28 00:00:00,Best Buy,,,Status Indicator Md,295,1
34342,218857651,purchase,2013-04-11 00:00:00,Best Buy,,,Status Indicator Md,295,2
36797,218862205,purchase,2013-03-14 00:00:00,online,,Online,Status Indicator Md,295,1
38964,218862205,purchase,2013-03-14 00:00:00,online,,Online,Status Indicator Lg,397,2
40719,218862205,purchase,2013-03-14 00:00:00,online,,Online,Base Station,47,3
40158,218862205,purchase,2013-10-21 00:00:00,online,,Online,Status Indicator Md,295,4
34354,218867771,purchase,2013-12-04 00:00:00,other,,,Base Station,47,1
34588,218867771,purchase,2013-12-04 00:00:00,other,,,Base Station,47,2
34644,218870301,purchase,2013-03-20 00:00:00,other,,,Base Station,47,1
32403,218873337,purchase,2013-09-30 00:00:00,other,,Dist Partners,Status Indicator Lg,397,1
41410,218873337,purchase,2014-12-13 00:00:00,online,,Online,Launch Button,699,2
42160,218873337,purchase,2014-12-13 00:00:00,online,,Online,Status Indicator Lg,397,3
41107,218874349,purchase,2013-11-12 00:00:00,Distrib A,,,Status Indicator Sm,203,1
50618,218880421,purchase,2014-04-02 00:00:00,online,,Dist Partners,Status Indicator Sm,203,1
50336,218880421,purchase,2014-06-06 00:00:00,online,,Dist Partners,Alarm,699,2
38445,218882445,purchase,2013-01-08 00:00:00,Distrib A,,Dist Partners,Spy Camera,699,1
39500,218882445,purchase,2013-10-09 00:00:00,Distrib A,,Dist Partners,Status Indicator Sm,203,2
29672,218882445,purchase,2014-05-09 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,3
34531,218891047,purchase,2014-06-25 00:00:00,Flagship Stores,,,Dashboard,344,1
37731,218891047,purchase,2014-06-25 00:00:00,Flagship Stores,,,Dashboard,344,2
37816,218891047,purchase,2014-10-02 00:00:00,Flagship Stores,,,Dashboard,344,3
45742,218892059,purchase,2014-11-24 00:00:00,other,,Dist Partners,Signal Amplifier,98,1
45658,218892059,purchase,2015-01-26 00:00:00,other,,Dist Partners,Dashboard,344,2
39447,218892565,purchase,2013-10-21 00:00:00,other,,Dist Partners,Status Indicator Sm,203,1
40106,218892565,purchase,2014-01-31 00:00:00,other,,Dist Partners,Status Indicator Md,295,2
40107,218892565,purchase,2014-01-31 00:00:00,other,,Dist Partners,Status Indicator Md,295,3
37894,218895601,purchase,2014-05-19 00:00:00,Flagship Stores,,,Dashboard + Monitor,502,1
37715,218896107,purchase,2013-09-11 00:00:00,Distrib C,,,Launch Button,699,1
37716,218896107,purchase,2013-09-11 00:00:00,Distrib C,,,Launch Button,699,2
37713,218896107,purchase,2013-10-28 00:00:00,Distrib C,,,Status Indicator Lg,397,3
37714,218896107,purchase,2013-11-12 00:00:00,Distrib C,,,Alarm,699,4
37904,218904709,purchase,2013-09-10 00:00:00,other,,,Status Indicator Lg,397,1
32628,218905215,purchase,2013-09-13 00:00:00,Target,,Retail,Status Indicator Sm,203,1
32629,218905215,purchase,2013-09-23 00:00:00,Target,,Retail,Status Indicator Sm,203,2
32626,218905215,purchase,2013-11-26 00:00:00,Target,,Retail,Status Indicator Sm,203,3
32627,218905215,purchase,2013-11-26 00:00:00,Target,,Retail,Status Indicator Sm,203,4
24542,218905215,purchase,2014-10-15 00:00:00,Flagship Stores,,Holographic Commerce,Signal Amplifier,98,5
40089,218907745,purchase,2013-01-25 00:00:00,Computer Discounter,,Dist Partners,Status Indicator Md,295,1
40122,218907745,purchase,2013-01-25 00:00:00,Computer Discounter,,Dist Partners,Status Indicator Md,295,2
27851,218908757,purchase,2013-04-23 00:00:00,Flagship Stores,,,Status Indicator Lg,397,1
41095,218909263,purchase,2014-07-18 00:00:00,Flagship Stores,,,Dashboard,344,1
38348,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard + Monitor,502,1
38349,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard + Monitor,502,2
38350,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard + Monitor,502,3
38351,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard + Monitor,502,4
38352,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard + Monitor,502,5
38353,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard + Monitor,502,6
38369,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard + Monitor,502,7
38370,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard + Monitor,502,8
38710,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard,344,9
38711,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard,344,10
38712,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard,344,11
38722,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard,344,12
38723,218912299,purchase,2013-04-09 00:00:00,other,,Dist Partners,Dashboard,344,13
38318,218912805,purchase,2014-02-03 00:00:00,other,,Dist Partners,Dashboard + Monitor,502,1
38319,218912805,purchase,2014-02-03 00:00:00,other,,Dist Partners,Dashboard + Monitor,502,2
38320,218912805,purchase,2014-02-03 00:00:00,other,,Dist Partners,Dashboard + Monitor,502,3
34587,218913311,purchase,2013-02-05 00:00:00,Distrib A,,,Remote,344,1
50823,218913817,purchase,2014-10-28 00:00:00,other,,Dist Partners,Status Indicator Sm,203,1
50822,218913817,purchase,2015-01-23 00:00:00,other,,Dist Partners,Status Indicator Sm,203,2
31094,218914323,purchase,2013-07-08 00:00:00,other,,,Status Indicator Lg,397,1
38717,218917359,purchase,2013-07-30 00:00:00,other,,Dist Partners,Dashboard,344,1
38715,218917359,purchase,2014-03-14 00:00:00,other,,Dist Partners,Dashboard,344,2
38716,218917359,purchase,2014-03-14 00:00:00,other,,Dist Partners,Dashboard,344,3
24476,218917359,purchase,2014-05-24 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard,344,4
28866,218917359,purchase,2014-05-24 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard,344,5
28867,218917359,purchase,2014-05-24 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard,344,6
28868,218917359,purchase,2014-05-24 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard,344,7
47113,218918371,purchase,2014-09-26 00:00:00,online,,Dist Partners,Status Indicator Md,295,1
47114,218918371,purchase,2014-09-26 00:00:00,online,,Dist Partners,Status Indicator Md,295,2
46751,218918371,purchase,2014-10-23 00:00:00,online,,Dist Partners,Status Indicator Sm,203,3
46856,218918371,purchase,2014-10-23 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,4
34336,218925961,purchase,2013-12-11 00:00:00,online,,,Status Indicator Sm,203,1
34337,218925961,purchase,2013-12-11 00:00:00,online,,,Status Indicator Sm,203,2
31567,218931527,purchase,2014-03-12 00:00:00,Cambridge,,Retail,Launch Button,699,1
34327,218940635,purchase,2013-01-09 00:00:00,other,,,Base Station,47,1
46619,218942153,purchase,2014-08-14 00:00:00,Best Buy,,Retail,Status Indicator Sm,203,1
40548,218944177,purchase,2013-01-30 00:00:00,other,,Dist Partners,Base Station,47,1
40052,218944177,purchase,2013-02-12 00:00:00,other,,Dist Partners,Status Indicator Md,295,2
35656,218944177,purchase,2013-02-20 00:00:00,other,,Dist Partners,Status Indicator Lg,397,3
35361,218944177,purchase,2013-02-26 00:00:00,other,,Dist Partners,Dashboard,344,4
37847,218949237,purchase,2013-02-04 00:00:00,online,,,Status Indicator Md,295,1
37848,218949237,purchase,2013-10-30 00:00:00,other,,,Status Indicator Sm,203,2
29407,218949743,purchase,2013-09-30 00:00:00,other,,Other,Status Indicator Sm,203,1
29451,218949743,purchase,2013-11-06 00:00:00,other,,Online,Status Indicator Sm,203,2
28063,218950755,purchase,2013-11-13 00:00:00,Best Buy,,,Status Indicator Sm,203,1
27901,218952273,purchase,2013-11-14 00:00:00,Best Buy,,,Status Indicator Sm,203,1
40131,218953285,purchase,2013-10-14 00:00:00,Thayer,,Dist Partners,Status Indicator Md,295,1
41131,218957839,purchase,2013-06-26 00:00:00,other,,,Dashboard,344,1
24599,218960875,purchase,2013-05-24 00:00:00,Amazon.com,,Retail,Status Indicator Lg,397,1
25416,218960875,purchase,2013-05-24 00:00:00,Amazon.com,,Retail,Status Indicator Md,295,2
25222,218960875,purchase,2014-10-06 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,3
41935,218960875,purchase,2014-10-10 00:00:00,Best Buy,,Retail,Signal Amplifier,98,4
37829,218963911,purchase,2013-06-24 00:00:00,Computer Discounter,,,Dashboard,344,1
25969,218964923,purchase,2013-05-21 00:00:00,Computer Discounter,,Dist Partners,Base Station,47,1
24146,218964923,purchase,2013-10-04 00:00:00,Computer Discounter,,Dist Partners,Dashboard + Monitor,502,2
24959,218964923,purchase,2014-02-07 00:00:00,Computer Discounter,,Dist Partners,Status Indicator Sm,203,3
40449,218964923,purchase,2014-05-29 00:00:00,Flagship Stores,,Holographic Commerce,Base Station,47,4
34862,218966947,purchase,2013-03-01 00:00:00,other,,Dist Partners,Launch Button,699,1
31869,218966947,purchase,2014-06-13 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502,2
31868,218966947,purchase,2014-07-10 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502,3
32248,218966947,purchase,2014-08-13 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard,344,4
31076,218972513,purchase,2013-03-12 00:00:00,other,,,Base Station,47,1
37464,218973019,purchase,2013-06-19 00:00:00,Best Buy,,Retail,Base Station,47,1
36258,218973019,purchase,2013-09-15 00:00:00,Best Buy,,Retail,Status Indicator Sm,203,2
36260,218973019,purchase,2013-09-15 00:00:00,Best Buy,,Retail,Status Indicator Sm,203,3
36261,218973019,purchase,2013-09-15 00:00:00,Best Buy,,Retail,Status Indicator Sm,203,4
36262,218973019,purchase,2013-09-15 00:00:00,Best Buy,,Retail,Status Indicator Sm,203,5
36263,218973019,purchase,2013-09-15 00:00:00,Best Buy,,Retail,Status Indicator Sm,203,6
36264,218973019,purchase,2013-09-15 00:00:00,Best Buy,,Retail,Status Indicator Sm,203,7
36265,218973019,purchase,2013-09-15 00:00:00,Best Buy,,Retail,Status Indicator Sm,203,8
36266,218973019,purchase,2013-09-15 00:00:00,Best Buy,,Retail,Status Indicator Sm,203,9
34807,218973019,purchase,2013-10-09 00:00:00,Cambridge,,Retail,Launch Button,699,10
36259,218973019,purchase,2014-01-15 00:00:00,Best Buy,,Retail,Status Indicator Sm,203,11
24196,218973019,purchase,2014-04-18 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502,12
31340,218974031,purchase,2013-03-04 00:00:00,other,,,Alarm,699,1
31250,218974031,purchase,2013-03-05 00:00:00,other,,,Launch Button,699,2
31336,218974031,purchase,2013-08-09 00:00:00,Apley,,,Status Indicator Md,295,3
31337,218974031,purchase,2013-08-09 00:00:00,Apley,,,Status Indicator Md,295,4
