,user_id,action_type,time_stamp,dealer,coupon_code,dist_channel,item_name,item_price
46751,218918371,purchase,2014-10-23,online,,Dist Partners,Status Indicator Sm,203
46856,218918371,purchase,2014-10-23,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
34336,218925961,purchase,2013-12-11,online,,,Status Indicator Sm,203
34337,218925961,purchase,2013-12-11,online,,,Status Indicator Sm,203
31567,218931527,purchase,2014-03-12,Cambridge,,Retail,Launch Button,699
34327,218940635,purchase,2013-01-09,other,,,Base Station,47
46619,218942153,purchase,2014-08-14,Best Buy,,Retail,Status Indicator Sm,203
40548,218944177,purchase,2013-01-30,other,,Dist Partners,Base Station,47
40052,218944177,purchase,2013-02-12,other,,Dist Partners,Status Indicator Md,295
35656,218944177,purchase,2013-02-20,other,,Dist Partners,Status Indicator Lg,397
35361,218944177,purchase,2013-02-26,other,,Dist Partners,Dashboard,344
37847,218949237,purchase,2013-02-04,online,,,Status Indicator Md,295
37848,218949237,purchase,2013-10-30,other,,,Status Indicator Sm,203
29407,218949743,purchase,2013-09-30,other,,Other,Status Indicator Sm,203
29451,218949743,purchase,2013-11-06,other,,Online,Status Indicator Sm,203
28063,218950755,purchase,2013-11-13,Best Buy,,,Status Indicator Sm,203
27901,218952273,purchase,2013-11-14,Best Buy,,,Status Indicator Sm,203
40131,218953285,purchase,2013-10-14,Thayer,,Dist Partners,Status Indicator Md,295
41131,218957839,purchase,2013-06-26,other,,,Dashboard,344
24599,218960875,purchase,2013-05-24,Amazon.com,,Retail,Status Indicator Lg,397
25416,218960875,purchase,2013-05-24,Amazon.com,,Retail,Status Indicator Md,295
25222,218960875,purchase,2014-10-06,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
41935,218960875,purchase,2014-10-10,Best Buy,,Retail,Signal Amplifier,98
37829,218963911,purchase,2013-06-24,Computer Discounter,,,Dashboard,344
25969,218964923,purchase,2013-05-21,Computer Discounter,,Dist Partners,Base Station,47
24146,218964923,purchase,2013-10-04,Computer Discounter,,Dist Partners,Dashboard + Monitor,502
24959,218964923,purchase,2014-02-07,Computer Discounter,,Dist Partners,Status Indicator Sm,203
40449,218964923,purchase,2014-05-29,Flagship Stores,,Holographic Commerce,Base Station,47
34862,218966947,purchase,2013-03-01,other,,Dist Partners,Launch Button,699
31869,218966947,purchase,2014-06-13,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502
31868,218966947,purchase,2014-07-10,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502
32248,218966947,purchase,2014-08-13,Flagship Stores,,Holographic Commerce,Dashboard,344
31076,218972513,purchase,2013-03-12,other,,,Base Station,47
37464,218973019,purchase,2013-06-19,Best Buy,,Retail,Base Station,47
36258,218973019,purchase,2013-09-15,Best Buy,,Retail,Status Indicator Sm,203
36260,218973019,purchase,2013-09-15,Best Buy,,Retail,Status Indicator Sm,203
36261,218973019,purchase,2013-09-15,Best Buy,,Retail,Status Indicator Sm,203
36262,218973019,purchase,2013-09-15,Best Buy,,Retail,Status Indicator Sm,203
36263,218973019,purchase,2013-09-15,Best Buy,,Retail,Status Indicator Sm,203
36264,218973019,purchase,2013-09-15,Best Buy,,Retail,Status Indicator Sm,203
36265,218973019,purchase,2013-09-15,Best Buy,,Retail,Status Indicator Sm,203
36266,218973019,purchase,2013-09-15,Best Buy,,Retail,Status Indicator Sm,203
34807,218973019,purchase,2013-10-09,Cambridge,,Retail,Launch Button,699
36259,218973019,purchase,2014-01-15,Best Buy,,Retail,Status Indicator Sm,203
24196,218973019,purchase,2014-04-18,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502
31340,218974031,purchase,2013-03-04,other,,,Alarm,699
31250,218974031,purchase,2013-03-05,other,,,Launch Button,699
31336,218974031,purchase,2013-08-09,Apley,,,Status Indicator Md,295
31337,218974031,purchase,2013-08-09,Apley,,,Status Indicator Md,295
41097,218975549,purchase,2013-09-30,Amazon.com,,,Status Indicator Sm,203
41098,218975549,purchase,2013-10-01,Amazon.com,,,Status Indicator Sm,203
27715,218990223,purchase,2013-11-01,Southern,,,Status Indicator Sm,203
27717,218990223,purchase,2013-11-01,Southern,,,Base Station,47
27713,218990223,purchase,2013-11-11,Southern,,,Base Station,47
27718,218990223,purchase,2013-11-12,DSG,,,Alarm,699
27714,218990223,purchase,2013-11-15,Southern,,,Status Indicator Sm,203
34349,218991741,purchase,2014-09-23,Distrib A,,,Signal Amplifier,98
36187,218994271,purchase,2014-04-25,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
34372,218996801,purchase,2013-04-09,other,,,Status Indicator Md,295
34373,218996801,purchase,2013-04-09,other,,,Status Indicator Md,295
34371,218996801,purchase,2013-04-17,other,,,Base Station,47
34375,218996801,purchase,2013-05-29,other,,,Dashboard,344
34370,218996801,purchase,2013-06-13,other,,,Status Indicator Lg,397
34374,218996801,purchase,2013-06-13,other,,,Status Indicator Lg,397
34376,218996801,purchase,2013-08-26,other,,,Launch Button,699
34377,218996801,purchase,2013-11-25,other,,,Status Indicator Sm,203
34378,218996801,purchase,2013-11-25,other,,,Status Indicator Sm,203
29798,219002367,purchase,2014-05-07,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
33181,219002367,purchase,2014-05-07,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
31099,219002873,purchase,2013-11-29,other,,,Status Indicator Lg,397
40235,219003379,purchase,2013-04-09,DSG,,Retail,Status Indicator Md,295
38104,219003379,purchase,2013-04-22,DSG,,Retail,Launch Button,699
38527,219003379,purchase,2013-04-22,DSG,,Retail,Alarm,699
24346,219012993,purchase,2013-09-06,Computer Discounter,,Dist Partners,Alarm,699
24036,219012993,purchase,2013-11-18,Computer Discounter,,Dist Partners,Launch Button,699
26214,219012993,purchase,2013-11-18,Computer Discounter,,Dist Partners,Base Station,47
25167,219012993,purchase,2013-12-18,Computer Discounter,,Dist Partners,Status Indicator Sm,203
25338,219012993,purchase,2013-12-18,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
27909,219013499,purchase,2014-04-23,Flagship Stores,,,Launch Button,699
34534,219014511,purchase,2013-05-28,online,,,Base Station,47
37817,219014511,purchase,2014-04-02,Flagship Stores,,,Status Indicator Sm,203
37876,219016029,purchase,2013-03-06,other,,,Alarm,699
37875,219016029,purchase,2013-03-28,other,,,Base Station,47
37882,219016029,purchase,2013-04-05,other,,,Launch Button,699
37881,219016029,purchase,2013-07-09,other,,,Dashboard,344
37872,219016029,purchase,2013-07-22,other,,,Dashboard + Monitor,502
37873,219016029,purchase,2013-07-22,other,,,Dashboard + Monitor,502
37877,219016029,purchase,2013-07-22,other,,,Dashboard + Monitor,502
37878,219016029,purchase,2013-07-22,other,,,Dashboard + Monitor,502
37880,219016029,purchase,2013-07-22,other,,,Dashboard,344
37883,219016029,purchase,2013-07-22,other,,,Dashboard + Monitor,502
41073,219016029,purchase,2013-07-22,other,,,Dashboard + Monitor,502
37874,219016029,purchase,2014-01-09,other,,,Dashboard + Monitor,502
37871,219016029,purchase,2014-10-20,Flagship Stores,,,Signal Amplifier,98
28477,219019571,purchase,2013-10-09,other,,Dist Partners,Dashboard + Monitor,502
42302,219026149,purchase,2014-04-17,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
24084,219026149,purchase,2014-12-04,online,,Online,Launch Button,699
28756,219027161,purchase,2013-08-16,other,,Dist Partners,Dashboard,344
45460,219027161,purchase,2014-08-29,other,,Retail,Dashboard + Monitor,502
41111,219029691,purchase,2014-09-19,Flagship Stores,,,Status Indicator Sm,203
34352,219032221,purchase,2013-12-20,other,,,Launch Button,699
37846,219032727,purchase,2013-11-04,DSG,,,Status Indicator Lg,397
40171,219033739,purchase,2013-05-15,Amazon.com,,Retail,Status Indicator Md,295
40170,219033739,purchase,2013-08-07,other,,Other,Status Indicator Md,295
28941,219033739,purchase,2014-09-11,Flagship Stores,,Holographic Commerce,Signal Amplifier,98
46563,219035257,purchase,2014-10-02,Best Buy,,Retail,Status Indicator Sm,203
37879,219036269,purchase,2013-10-11,Electronic Exp,,,Status Indicator Sm,203
41072,219036269,purchase,2014-03-12,Electronic Exp,,,Launch Button,699
41137,219036269,purchase,2014-04-02,Flagship Stores,,,Status Indicator Sm,203
41077,219036269,purchase,2014-09-22,Flagship Stores,,,Status Indicator Sm,203
43999,219036269,purchase,2014-09-22,Flagship Stores,,,Status Indicator Sm,203
34794,219039305,purchase,2014-05-26,Flagship Stores,,Holographic Commerce,Launch Button,699
